[2026-03-13T02:04:30-0700] DFHack 0.47.05-r7-0-g3f6e92ed on OS X; cwd md5: 49567b377d; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2026-03-13T02:04:38-0700] DFHack 0.47.05-r7-0-g3f6e92ed on OS X; cwd md5: 49567b377d; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2026-03-13T02:05:16-0700] DFHack 0.47.05-r7-0-g3f6e92ed on OS X; cwd md5: 49567b377d; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2026-03-13T02:29:30-0700] DFHack 0.47.05-r7-0-g3f6e92ed on OS X; cwd md5: 49567b377d; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2026-03-13T02:30:03-0700] DFHack 0.47.05-r7-0-g3f6e92ed on OS X; cwd md5: 49567b377d; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2026-03-13T14:53:02-0700] DFHack 0.47.05-r7-0-g3f6e92ed on OS X; cwd md5: 49567b377d; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2026-03-13T14:54:06-0700] DFHack 0.47.05-r7-0-g3f6e92ed on OS X; cwd md5: 49567b377d; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2026-03-13T15:07:15-0700] DFHack 0.47.05-r7-0-g3f6e92ed on OS X; cwd md5: 49567b377d; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2026-03-13T15:07:52-0700] DFHack 0.47.05-r7-0-g3f6e92ed on OS X; cwd md5: 49567b377d; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2026-03-13T15:12:32-0700] DFHack 0.47.05-r7-0-g3f6e92ed on OS X; cwd md5: 49567b377d; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2026-03-13T15:12:53-0700] DFHack 0.47.05-r7-0-g3f6e92ed on OS X; cwd md5: 49567b377d; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2026-03-13T15:18:35-0700] DFHack 0.47.05-r7-0-g3f6e92ed on OS X; cwd md5: 49567b377d; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2026-03-13T15:18:50-0700] DFHack 0.47.05-r7-0-g3f6e92ed on OS X; cwd md5: 49567b377d; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2026-03-13T15:26:32-0700] DFHack 0.47.05-r7-0-g3f6e92ed on OS X; cwd md5: 49567b377d; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
