path fail: soldier ant woman,109,109,39 -> 114,110,40: Id #5106:Path Goal Chase Opponent Flood:Station None at 102,118,37
path fail: dwarf,105,104,178 -> 105,103,178: Id #5085:Path Goal Seek Station:Station Wagon at 105,104,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
path fail: dwarf,Strange Mood,101,106,178 -> 105,115,177: Id #5353:Path Goal Set Mood Building:Station Wagon at 99,105,178
